iter	Passed	Remaining
972	8452	1972
973	8461	1963
974	8469	1954
975	8478	1945
976	8487	1937
977	8496	1928
978	8505	1919
979	8514	1911
980	8523	1902
981	8533	1894
982	8541	1885
983	8551	1877
984	8560	1868
985	8568	1859
986	8577	1851
987	8586	1842
988	8595	1833
989	8604	1825
990	8613	1816
991	8621	1807
992	8629	1798
993	8638	1790
994	8647	1781
995	8655	1772
996	8663	1764
997	8672	1755
998	8681	1746
999	8690	1738
1000	8698	1729
1001	8706	1720
1002	8715	1711
1003	8724	1703
1004	8732	1694
1005	8742	1685
1006	8751	1677
1007	8760	1668
1008	8769	1659
1009	8777	1651
1010	8786	1642
1011	8795	1633
1012	8804	1625
1013	8813	1616
1014	8822	1607
1015	8831	1599
1016	8839	1590
1017	8848	1581
1018	8857	1573
1019	8865	1564
1020	8874	1555
1021	8882	1547
1022	8891	1538
1023	8899	1529
1024	8908	1521
1025	8917	1512
1026	8925	1503
1027	8934	1494
1028	8942	1486
1029	8952	1477
1030	8961	1468
1031	8970	1460
1032	8979	1451
1033	8988	1442
1034	8996	1434
1035	9005	1425
1036	9013	1416
1037	9022	1408
1038	9031	1399
1039	9039	1390
1040	9048	1381
1041	9056	1373
1042	9065	1364
1043	9072	1355
1044	9082	1347
1045	9090	1338
1046	9099	1329
1047	9107	1320
1048	9116	1312
1049	9124	1303
1050	9132	1294
1051	9141	1286
1052	9149	1277
1053	9158	1268
1054	9166	1259
1055	9176	1251
1056	9184	1242
1057	9193	1233
1058	9201	1225
1059	9210	1216
1060	9219	1207
1061	9228	1199
1062	9236	1190
1063	9245	1181
1064	9253	1172
1065	9262	1164
1066	9270	1155
1067	9278	1146
1068	9287	1138
1069	9296	1129
1070	9305	1120
1071	9313	1112
1072	9322	1103
1073	9330	1094
1074	9339	1086
1075	9348	1077
1076	9357	1068
1077	9364	1059
1078	9373	1051
1079	9382	1042
1080	9390	1033
1081	9399	1025
1082	9407	1016
1083	9416	1007
1084	9424	998
1085	9434	990
1086	9443	981
1087	9451	972
1088	9460	964
1089	9469	955
1090	9477	946
1091	9486	938
1092	9495	929
1093	9504	920
1094	9512	912
1095	9521	903
1096	9530	894
1097	9537	886
1098	9545	877
1099	9553	868
1100	9562	859
1101	9570	851
1102	9580	842
1103	9588	833
1104	9596	825
1105	9605	816
1106	9613	807
1107	9622	798
1108	9630	790
1109	9639	781
1110	9647	772
1111	9657	764
1112	9666	755
1113	9674	746
1114	9682	738
1115	9691	729
1116	9699	720
1117	9708	712
1118	9717	703
1119	9725	694
1120	9734	686
1121	9744	677
1122	9752	668
1123	9762	660
1124	9770	651
1125	9778	642
1126	9787	633
1127	9794	625
1128	9803	616
1129	9813	607
1130	9822	599
1131	9829	590
1132	9838	581
1133	9847	573
1134	9855	564
1135	9863	555
1136	9872	547
1137	9881	538
1138	9889	529
1139	9898	520
1140	9906	512
1141	9915	503
1142	9924	494
1143	9932	486
1144	9942	477
1145	9951	468
1146	9959	460
1147	9967	451
1148	9980	443
1149	9989	434
1150	9998	425
1151	10007	416
1152	10016	408
1153	10024	399
1154	10032	390
1155	10041	382
1156	10048	373
1157	10057	364
1158	10068	356
1159	10076	347
1160	10084	338
1161	10092	330
1162	10100	321
1163	10108	312
1164	10116	303
1165	10126	295
1166	10134	286
1167	10143	277
1168	10151	269
1169	10160	260
1170	10169	251
1171	10178	243
1172	10186	234
1173	10195	225
1174	10203	217
1175	10212	208
1176	10221	199
1177	10228	191
1178	10236	182
1179	10245	173
1180	10253	164
1181	10261	156
1182	10269	147
1183	10278	138
1184	10287	130
1185	10295	121
1186	10305	112
1187	10314	104
1188	10321	95
1189	10329	86
1190	10338	78
1191	10346	69
1192	10354	60
1193	10363	52
1194	10371	43
1195	10380	34
1196	10389	26
1197	10397	17
1198	10406	8
1199	10414	0
